time,open,high,low,close,vwap,volume,count
2024-05-18T16:59:00+00:00,66903.3,66903.3,66903.2,66903.3,66903.2,0.01075128,6
2024-05-18T17:00:00+00:00,66903.3,66903.3,66903.2,66903.3,66903.2,0.01234373,6
2024-05-18T17:01:00+00:00,66903.3,66903.3,66903.2,66903.3,66903.2,0.00641635,5
2024-05-18T17:02:00+00:00,66903.2,66903.3,66903.2,66903.3,66903.2,0.18552299,10
2024-05-18T17:03:00+00:00,66903.3,66903.3,66903.3,66903.3,66903.3,0.02870508,4
2024-05-18T17:04:00+00:00,66903.2,66903.3,66903.2,66903.3,66903.2,0.00402367,4
2024-05-18T17:05:00+00:00,66903.2,66903.3,66903.2,66903.3,66903.2,0.04019959,3
2024-05-18T17:06:00+00:00,66903.3,66903.3,66903.3,66903.3,66903.3,0.05276830,3
2024-05-18T17:07:00+00:00,66903.3,66903.3,66903.3,66903.3,66903.3,0.07446740,5
2024-05-18T17:08:00+00:00,66903.3,66903.3,66903.2,66903.3,66903.2,0.02998194,7
2024-05-18T17:09:00+00:00,66903.3,66903.3,66903.3,66903.3,66903.3,0.00205449,5
2024-05-18T17:10:00+00:00,66903.3,66903.3,66903.3,66903.3,66903.3,0.01177394,7
2024-05-18T17:11:00+00:00,66903.3,66903.3,66903.3,66903.3,66903.3,0.00125918,3
2024-05-18T17:12:00+00:00,66903.2,66903.3,66903.2,66903.3,66903.2,0.05588919,9
2024-05-18T17:13:00+00:00,66903.2,66903.3,66903.2,66903.3,66903.2,0.01228591,6
2024-05-18T17:14:00+00:00,66903.3,66903.3,66903.2,66903.2,66903.2,0.11677581,7
2024-05-18T17:15:00+00:00,66903.3,66903.3,66903.3,66903.3,66903.3,0.17415967,5
2024-05-18T17:16:00+00:00,66903.3,66903.3,66903.2,66903.3,66903.2,0.07670590,6
2024-05-18T17:17:00+00:00,66903.3,66903.3,66903.2,66903.3,66903.2,0.00962992,6
2024-05-18T17:18:00+00:00,66903.3,66903.3,66903.2,66903.2,66903.2,0.01372807,3
2024-05-18T17:19:00+00:00,66903.3,66903.3,66903.2,66903.3,66903.2,1.49158172,18
2024-05-18T17:20:00+00:00,66903.3,66923.4,66903.3,66923.4,66914.1,0.01100709,7
2024-05-18T17:21:00+00:00,66923.4,66923.4,66923.4,66923.4,66923.4,0.01279926,5
2024-05-18T17:22:00+00:00,66923.4,66923.4,66923.4,66923.4,66923.4,0.00030000,1
2024-05-18T17:23:00+00:00,66923.4,66923.4,66923.3,66923.4,66923.3,0.00770771,7
2024-05-18T17:24:00+00:00,66923.4,66936.8,66923.4,66936.2,66933.2,0.36352324,16
2024-05-18T17:25:00+00:00,66936.2,66936.2,66936.1,66936.2,66936.1,0.00723157,5
2024-05-18T17:26:00+00:00,66936.1,66936.1,66910.3,66910.4,66922.3,0.37209275,17
2024-05-18T17:27:00+00:00,66910.4,66910.4,66910.3,66910.3,66910.3,0.06796000,2
2024-05-18T17:28:00+00:00,66910.4,66910.4,66910.3,66910.3,66910.3,0.03566014,6
2024-05-18T17:29:00+00:00,66910.4,66910.4,66910.4,66910.4,66910.4,0.00761849,2
2024-05-18T17:30:00+00:00,66910.3,66910.3,66910.3,66910.3,66910.3,0.00451344,4
2024-05-18T17:31:00+00:00,66910.3,66910.3,66907.0,66907.0,66910.0,0.00237472,5
2024-05-18T17:32:00+00:00,66907.0,66907.1,66907.0,66907.0,66907.0,0.00173084,6
2024-05-18T17:33:00+00:00,66907.1,66907.1,66907.0,66907.1,66907.0,0.00491805,6
2024-05-18T17:34:00+00:00,66907.0,66907.0,66876.4,66876.5,66898.9,1.25815412,22
2024-05-18T17:35:00+00:00,66876.4,66876.5,66876.4,66876.5,66876.4,0.01717859,3
2024-05-18T17:36:00+00:00,66876.5,66876.5,66876.4,66876.4,66876.4,0.05449416,2
2024-05-18T17:37:00+00:00,66876.4,66876.5,66876.4,66876.4,66876.4,0.00417577,5
